Category: All categories

Region,Milkshake: (2/1/24 - 2/28/25),Hamburger: (2/1/24 - 2/28/25)
South Carolina,26%,74%
Alabama,27%,73%
Tennessee,25%,75%
Kentucky,26%,74%
Indiana,27%,73%
North Carolina,26%,74%
Georgia,27%,73%
Arkansas,25%,75%
Utah,24%,76%
Illinois,26%,74%
Nevada,24%,76%
Oklahoma,22%,78%
Ohio,26%,74%
West Virginia,26%,74%
Pennsylvania,27%,73%
Connecticut,26%,74%
Texas,25%,75%
Virginia,28%,72%
Arizona,24%,76%
Rhode Island,26%,74%
Michigan,24%,76%
Wisconsin,24%,76%
Delaware,27%,73%
Florida,26%,74%
Maryland,28%,72%
Kansas,23%,77%
New Jersey,28%,72%
Mississippi,23%,77%
Missouri,21%,79%
California,23%,77%
Idaho,22%,78%
Louisiana,24%,76%
New Mexico,23%,77%
North Dakota,20%,80%
Nebraska,20%,80%
New Hampshire,24%,76%
Oregon,21%,79%
Washington,22%,78%
Iowa,20%,80%
Colorado,21%,79%
New York,25%,75%
Minnesota,20%,80%
Massachusetts,25%,75%
South Dakota,15%,85%
Maine,19%,81%
Wyoming,19%,81%
Vermont,20%,80%
Montana,17%,83%
Alaska,17%,83%
Hawaii,16%,84%
District of Columbia,19%,81%
